LastUpdate,Size,Version,Name,Rating,Downloads,andriodRequirements,Permissions,DeveloperLink,ratingCount,Developer,Description
9 July 2016,  Varies with device ,  Varies with device ,EMI Calculator,4.2," 1,000,000 - 5,000,000 ",  Varies with device   ,"read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,receive data from Internet
view network connections
full network access
prevent device from sleeping",mailto:infonitydeveloper@gmail.com,"11,551",Infoneety Software Solutions,"This Smart and handy app is used to calculate EMI(Equated monthly Instalment ) of car ,home and other Loan entities/ Mortgage Calculator.,Key Features -,- Create Different Loan Profile using app and view them at any time.,- Calculate EMI with statistics (Montly / Yearly Mode) .,- Share EMI details with clients using SMS/EMAIL.,- Easy to Access and Innovative . ,- Good Usability .,- App Available for FREE to use .,For Advertisement / Query / Suggestions contact us at infonitydeveloper@gmail.com ,#####################################################,Its been recommended to set Automatic updates on .,#####################################################"
13 August 2016, 2.0M  , 1.9  ,GST Tax Bill India - Model Law,4.5," 10,000 - 50,000 ",     2.3 and up   ,,mailto:offlineappsindia@gmail.com,190,Offline Apps (No Internet required),"Contains following Section : 1,2,3,4,4,5,6,7,8,9,10,11,12,13,14,15,16,16A,17,18,19,19A,20,21,22,23,23A,24,25,26,27,27A,28,29,29A,30,31,32,33,34,35,36,37,37A,38,39,40,41,42,43,43A,43B,43C,44,44A,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,132A,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,162A,162B,162C,162D,162E,,SCHEDULES I,SCHEDULES II,SCHEDULES III,SCHEDULES IV,,RULES 1"
8 August 2016,  Varies with device ,  Varies with device ,Federal Bank - FedMobile,4.2," 100,000 - 500,000 ",  Varies with device   ,"find accounts on the device,find accounts on the device
read your contacts,approximate location (network-based)
precise location (GPS and network-based),send SMS messages,read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
run at startup
use accounts on the device
prevent device from sleeping","https://www.google.com/url?q=http://www.federalbank.co.in/&sa=D&usg=AFQjCNHF4rVBsbhjDBdjOMjbzAR_KMoGng,mailto:mobilesupport@federalbank.co.in,https://www.google.com/url?q=http://federalbank.co.in/fedmobile-tc&sa=D&usg=AFQjCNEcVoUYfn8dKRhtcEEiAnBe71Mtrg","7,797",Federal Bank,"The features of the new FedMobile includes:,1 Easy Registration process,2 Online activation of Beneficiary,3 Search beneficiary option in Fund Transfer.,4 Reset PIN facility,Note: Existing FedMobile users are advised to remove the old App once you start using the New FedMobile App. You will not be able to use the old App anymore.,Terms and conditions: http://www.federalbank.co.in/fedmobile-tc ,Please send us your feedback and suggestions at contact@federalbank.co.in. For related queries, call us at 1800-425-1199 / 1800-420-1199(National Toll Free Number) or +91-484-2630994/2630995 (for Customers abroad)."
9 August 2016, 14M  , 3.7  ,Cent Mobile,4.3," 100,000 - 500,000 ",     2.3 and up   ,"approximate location (network-based)
precise location (GPS and network-based),read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,view network connections
full network access
read Google service configuration","https://www.google.com/url?q=https://m.centralbankmobile.in&sa=D&usg=AFQjCNF2EkG4Hx1o6EsdRQRJcEyGa_3ouQ,mailto:centmobile2013@gmail.com","7,361",CENTRAL BANK OF INDIA,"Pre Login Features:,	Branch and ATM Locations - List of nearby ATMs or Branches. State, District, Center or Pin code based search option is also available.,	Map showing distance/driving directions for ATMs/Branches/Admin Offices.,	Interest rates for Time Deposits. ,	Interest rates for Retail Loan Schemes.,	Forex rates. ,	Contact details of Admin Offices,	Link for Corporate website and Official social media pages (facebook, twitter).,	Missed Call service for getting Account Balance or last few Transactions over SMS (available to Customers registered for this service).,	Apply for new Saving Account, Retail Loan or Credit Card.,	Real time Notifications/Alerts regarding new launch/offers/modification in schemes etc.,	Information banners related to products and services of bank.,	Frequently asked Questions (FAQ),Post Login Features: ,	Account Balance Enquiry.,	Account Details.,	Mini Statement.,	Fund transfer to accounts with Central Bank of India.,	Fund transfer to other banks through NEFT/IMPS.,	Open New Time Deposit Account.,	Request for personalized ATM (Debit) Card.,	Request for ATM (Debit) Card Blocking.,	Link Account to Aadhar Number.,	Donation to selected Institution.,	Request for Cheque Book.,	Request for Stop Payment.,	Request to Revoke Stop Payment.,	Cheque Status Enquiry.,	Registration for getting Account Statement over Email.,	NEFT Status Enquiry.,Cent Mobile Registration Process:,Customers using old version (2.5 or lower) are requested to uninstall old version. Download and install new Cent Mobile Application. Launch the app and use option- New User Registration.  User will receive OTP (One Time Password) through SMS on registered mobile number after submitting CIF Number. After successful validation, register it - Using Internet Banking User ID & Password or through Branch. If you are not using Internet Banking facility, please visit nearest Branch to request for OTP for Cent Mobile. Set your preferred User ID, MPIN (Login Password) and TPIN (Transaction password) for Cent Mobile.  After successful registration process, Login to use enhanced features.,What’s is New,	Fund transfer through NEFT|/IMPS.,	Branch and ATM Locations.,	Open New Time Deposit Account.,	Interest rates for Deposit and Retail Loan Schemes. Forex rates. ,	Request for personalized ATM (Debit) Card.,	Request for ATM (Debit) Card Blocking.,	Link Account to Aadhar Number.,	Contact details of Branches/Admin Offices,	Missed Call service,	Apply for new Saving Account, Retail Loan or Credit Card.,	Donation to selected Institution.,	Registration for getting Account Statement over Email."
15 August 2016, 4.8M  , 1.5  ,Financial Calculator India,4.5," 100,000 - 500,000 ",     2.3 and up   ,"find accounts on the device,find accounts on the device,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,receive data from Internet
view network connections
full network access
use accounts on the device","https://www.google.com/url?q=http://www.rkapps.co&sa=D&usg=AFQjCNFUC-PUKOOA6ajy9T5qklct2_qwsw,mailto:rk@rkapps.co","3,260",RK Apps,"This App provides the following calculators for both Mobile Phones and Tablets., EMI Calculator (Loan Calculator / Mortgage Calculator), Fixed Deposit Calculator (TDR - Interest Payout), Fixed Deposit Calculator (STDR - Cumulative), Recurring Deposit Calculator (RD), PPF Calculator (Public Provident Fund), Sukanya Samriddhi Account Calculator (SSA), Senior Citizens Savings Scheme - SCSS Calculator, Kisan Vikas Patra - KVP Calculator, Monthly Income Scheme Calculator (MIS), Recurring Deposit Calculator (RD), Time Deposit Calculator (TD), National Savings Certificate - NSC Calculator, Interest Rates (%) of Post Office Schemes, Mutual Funds Information, SIP Calculator (Systematic Investment Plan), NPS Calculator (National Pension System), EPF Calculator (Employees Provident Fund), APS Calculator (Atal Pension Scheme / Atal Pension Yojana), PM Jeevan Jyoti Bima Scheme - PMJJB Calculator, PM Suraksha Bima Scheme - PMSB Calculator,	, Simple Interest Calculator, Compound Interest Calculator,	,	, FREE, Works on both Smart Phones and Tablets, Exclusively for the people of India with Indian finance schemes, Helps you take informed decisions about your finance, Indian number format, Displays the Maturity amount, Displays ""Total Amount Deposited"" and ""Total Interest Earned"", Displays Yearly and Monthly growth reports, Sends the reports via E-mail, Displays visually intuitive graphs, Contains in-built information about the Schemes details, Runs on Android versions 2.3 (Gingerbread) and above, No Internet connection is required,Internet permission is required for Analytics and displaying Ads.,Kindly consider these calculators as a guidance only. Investors are required to make their own assessment before investing."
19 November 2015, 2.1M  , 5.0  ,CANMOBILE,3.7," 500,000 - 1,000,000 ",     2.3 and up   ,"receive text messages (SMS)
send SMS messages,directly call phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,view network connections
connect and disconnect from Wi-Fi
full network access","https://www.google.com/url?q=http://www.canarabank.com/Upload/English/Content/canmobile/default.html&sa=D&usg=AFQjCNGAjCmb76UrXRiYeyxRX7qfbeNAkw,mailto:canarambanking@gmail.com","11,237",CANARA BANK,"The Mobile Banking facility of Canara Bank has been is introduced with the objective of enabling mobile as one more channel for banking including Funds Transfer online, in real time, at any time anywhere. ,CanMobile enables you to view Balances, Mini Statements, view Cheque Status and Transfer funds within our bank and between banks as well through IMPS (Immediate Payment Services), perform Mobile Top-up, use M-Commerce services and receive alerts for mobile banking transactions and many more useful services.,The enhanced features in new version of CanMobile are:,•	Self-Registration and Activation,•	Link for ‘Forgot User ID’ and ‘Forgot MPIN’,•	Loan Enquiry,•	Term Deposit Enquiry,•	Menu Options at all Screens,•	Personalization (Name and Profile Pic),•	IMPS Beneficiary Addition,•	One Time MPIN Validation,•	Favorite Transactions at one click,•	Single Link for Downloading App irrespective of Operating System,•	SISA Certified for Security,•	Self-Video Help and FAQs within Application,For additional information on CanMobile kindly visit http://www.canarabank.com/English/scripts/canmobile.aspx,NOTE: The android operating system required is minimum 3.0 and above."
9 August 2016,,,Policybazaar - Compare Online,4.2," 500,000 - 1,000,000 ",     4.0 and up   ,"approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS),read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,receive data from Internet
view network connections
full network access
control vibration
prevent device from sleeping
read Google service configuration","https://www.google.com/url?q=http://www.policybazaar.com&sa=D&usg=AFQjCNExOxAF-I-_dy8fSjIhRgdIV2AhhQ,mailto:policybazaarmobileteam@gmail.com,https://www.google.com/url?q=http://www.policybazaar.com/privacy-policy/&sa=D&usg=AFQjCNGNh-lH6wi601f_LRwOTu5s_lo-Ug","8,203",policybazaar,"Key Features,•	Compare: From a wide range of insurance policies, Mediclaim policy, and other financial products.,•	Manage: (Buy, Store & Share) all your policies; Two wheeler insurance/bike Insurance, Travel Insurance, Car Insurance online, Term Life Insurance, Medical Insurance, General Insurance, Term Insurance, Mediclaim policy, Best Investment Plans, Health Insurance Plans, etc.,•	Renew: Get a sneak peak of all your investment plans, two wheeler insurance/bike insurance, term insurance, travel insurance, car insurance, pension plan and get detailed information about insurance policy and renew it by one tap. ,•	Add-ons: Hospital locator & Garage Locator. With Policybazaar, you can search by city, make of your car, or turn on your GPS and we will help you with directions.,•	Claim Assistance: Hassle free claim assistance to put you at ease once you buy an insurance policy. We not only help you purchase the nest plan, but make sure that best service & after care is provided to you.,Choose among wide range of providers,With Policybazaar, you can compare the insurance quotes from insurance providers like Bajaj Allianz, ICICI Prudential Life insurance, Aviva Life Insurance, MetLife, Reliance General Insurance, Birla Sun Life Insurance,  Apollo Munich Health Insurance, Kotak Life Insurance, Axis ,SBI Life Insurance, Max Life Insurance, HDFC Ergo, AXA life insurance, PNBMetlife, Max Bupa, ICICI lombard Health Insurance, ICICI Lombard bike insurance, ICIC Lombard Car Insurance, L&T, HDFC Life Insurance, New India Assurance, Maruti Insurance, Oriental Insurance, Reliance Life Insurance,  Exide Life, Tata AIG , United Insurance, Star Health Insurance, Religare Health Insurance, Bajaj Allianz Life Insurance, Bajaj Allianz Car Insurance, Star Health Insurance, Aegon Religare life insurance.,At Policybazaar, you can compare policies from leading insurers side by side and buy the one that resonates with your financial goals. There are numerous investment options to choose from.,Why Choose Policybazaar?,•	Claim assistance: Hassle free claim assistance to put you at ease once you buy an insurance policy.,•	Free Roadside Assistance: Free roadside assistance through the app on the purchase of a motor insurance policy through us!,•	Motor Insta Renewal: Take a photo of your existing motor policy and upload it for an instant renewal.,Choose among a large number of Investment plans.,PolicyBazaar gets you access to all financial products from various providers include SBI Life, Bajaj Allianz Life, HDFC Life Insurance, ICICI Life, & various other Investment products.,Easy payment options,Numerous payment options like credit card, debit card and net banking – pay it the way you like it. You can pay for any financial product like health insurance plans, term insurance, pension plan, travel insurance, four wheeler insurance/car insurance online, and two wheeler insurance/bike insurance of any provider. ,Need Assistance?,If you still need any assistance or have any questions, feel free to call us Toll Free at 1800-208-8787 or drop an email at policybazaarmobileteam@gmail.com. We would be delighted to help you."
25 June 2016, 2.3M  , 22.0  ,PNB mBanking,3.8," 1,000,000 - 5,000,000 ",     1.5 and up   ,"retrieve running apps
read sensitive log data,approximate location (network-based)
precise location (GPS and network-based),directly call phone numbers
directly call any phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,read phone status and identity,view network connections
full network access
modify system settings
read Google service configuration","https://www.google.com/url?q=https://mobile.netpnb.com&sa=D&usg=AFQjCNFCRS2Fe-2gBSiHbAx4NRLXAkkZnA,mailto:pnbmobilebanking@gmail.com","15,026",PNB,"NOTE : One time activation is mandatory after downloading the new app before logging in.,Activation Process for New PNB Mobile Banking App downloaded on handset :, ,1. Generate One Time Password (OTP) by sending a SMS SOTP to 5607040 through your mobile no. registered for mobile banking.,2. Invoke the downloaded application.,3. Click on Activate button.,4. Enter mobile banking user id.,5. Provide information for Date of Birth, Pin Code, Mother’s Maiden Name as provided while availing mobile banking facility.,6. If above information is provided correctly, system will prompt user to enter One Time Password (OTP) which was generated by the user by sending a SMS SOTP to 5607040.,7. Post successful validation user will be required to set MPIN (4 digit numeric no.) to login into the application subsequently.,Important Tips:, ,1. Before downloading/activating Apps customers are requested to check availability of stable internet connection on their mobile handsets.,2. One Time Password (OTP) is normally delivered immediately. If OTP is not received within reasonable time, customer will have to regenerate OTP as per procedure provided above. OTP is mandatorily required during activation process,3. MPIN set by you will be used for login into the application once activation process is successfully completed, so kindly don’t forget MPIN set by you.,4. If MPIN is forgotten, customer will have to do the  Activation Process all over again as per above steps, ,You are requested not to follow any link/E-Mail requesting to share your Bank Details, Personal Details, User ID and Password, One Time Passwords (OTP) etc. Our Bank never asks for such information from its customers. Please report any such incident at incident@pnb.co.in, ,For any queries/clarifications, please contact our 24 hr Contact Centre at 1800 180 2222 / 1800 103 2222 (Toll free numbers), 0120 2490000 (Tolled number) or e-mail us at mobhelp@pnb.co.in."
3 August 2016, 1.8M  , 1.6  ,HDFC Bank MobileBanking LITE,4.2," 100,000 - 500,000 ",     2.3.3 and up   ,"read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages,directly call phone numbers
read phone status and identity,read phone status and identity,","https://www.google.com/url?q=http://www.hdfcbank.com&sa=D&usg=AFQjCNFKlDxP_PXll48ZQOw_Li8o6odkOw,mailto:innovations@hdfcbank.com","1,018",HDFC Bank,"You can use this app in either English or Hindi.,With this app, you can do all this on the move, anytime, anywhere:,· Check your Balance,· Get a Mini Statement of your account,· Place request for cheque Books,· Place a request for A/c Statement,· Check the status of cheques,· Stop cheque payment,· View Fixed Deposit Summary,· Generate NetBanking password (IPIN),So what are you waiting for? Download the HDFC Bank MobileBankingLITE App today and enjoy these  features and more."
13 May 2016, 10M  , 4.0.4  ,Kotak Bank,4.4," 1,000,000 - 5,000,000 ",     2.2 and up   ,"find accounts on the device,find accounts on the device
read your contacts
modify your contacts,approximate location (network-based)
precise location (GPS and network-based),receive text messages (SMS),directly call phone numbers
read call log
read phone status and identity
write call log,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,read phone status and identity,receive data from Internet
view network connections
full network access
prevent device from sleeping
install shortcuts
read Google service configuration","https://www.google.com/url?q=http://www.kotak.com/bank/personal-banking/convenience-banking/mobile-banking.html&sa=D&usg=AFQjCNEsjg2IAmjk2idqAFl3ppeSZ685gQ,mailto:service.bank@kotak.com,https://www.google.com/url?q=http://www.kotak.com/bank/common/privacy_policy.htm&sa=D&usg=AFQjCNG9vfMOtWVUsoQyDFxP8POgSXCC6Q","75,317",Kotak Mahindra Bank Ltd.,"Kotak Mobile Banking features:,• Transact over a completely secure medium,• Personalise your Home Page to get the information of your choice,• Locate the nearest Kotak Bank branch or ATM,• Easy fund transfer on the go, without having to register a beneficiary,• Recharge your mobile & DTH subscription with ease. ,• Make 24X7 Instant Payment through IMPS using IFSC & A/c No.,• Track your Credit Card A/c, make payment and convert transactions to EMI,• Keep a track of your total net worth with Kotak through the One View widget,• Get your transaction alerts through Push Notifications,• Make a NEFT / RTGS Fund transfer even after the cut-off timing,• No need to remember IFSC for making a IMPS / NEFT fund transfer, directly select from a list of banks,• Purchase / Redeem Mutual Funds and keep a track of your investments.,• Regenerate Debit / Credit Card PIN,• View social and transaction points for your JIFI account,• Avail latest and exciting deals through Kotak Offers App,• Pay your bills, open a Term Deposit and much more,Get started:,You just need your Customer Relationship Number (CRN), your Debit / Credit Card PIN or your Net Banking password to get started. The app will take you through a one-time activation process when you login for the first time.,Kotak Bank App requires following permissions:,- Contacts: This is required to allow you fetching mobile number while mobile / DTH recharge or sharing IFSC/MMID,- Location: This is required for Branch / ATM locator,- Photos / Media / Files / Camera: This is required to let you access gallery / click an image to set profile picture. ,- Phone: This is required to let you dial customer contact center,- SMS: This is required to auto activate the device during activation process. ,Please note that your data is safe with Kotak Mahindra bank. We do not share any information with third party without your initiation."
15 September 2016, 6.7M  , 1.3.1  ,"NSE, BSE, Shares : ET Markets",4.2," 500,000 - 1,000,000 ",     4.0 and up   ,"find accounts on the device,find accounts on the device,precise location (GPS and network-based),read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,receive data from Internet
view network connections
full network access
control vibration
prevent device from sleeping","https://www.google.com/url?q=http://www.timesinternet.in/&sa=D&usg=AFQjCNFq6Lno9i6FfLXWMWSK9OR8ndD1RA,mailto:til.androidapps@gmail.com,https://www.google.com/url?q=http://www.indiatimes.com/privacypolicy/&sa=D&usg=AFQjCNG6ZX-s7t0qdmxrV6rf7myOH8Oytw","20,196",Times Internet Limited,"- Now track all the stock market indicators in your preferred regional language.,- Stay on top of the developments in stock market, commodity market, mutual funds and money markets.,- Track BSE Sensex live, NSE Nifty charts live and get share prices with advanced technical charting.,-  Use sensex live, interactive, multiple chart types and technical analysis to spot trends and compare performance.,-  Catch ETNOW TV and audio streaming live to keep yourself abreast of share market news, business news, finance news, BSE and NSE, indian stock exchange.,-  Use smart voice search to discover news and views on stocks or shares, Commodities, Forex Markets, BSE India and NSE India.,-  Follow stock quotes real time, get tips on intraday trading, stock futures, commodities, forex markets, ETFs on the go., -  One-stop destination for indian stock exchange news, mutual fund news, NAVs, portfolio updates, fund analysis, SIP calculator ,-  Simply swipe to build, manage and access your portfolio ; get customised news , analysis and data of the Indian stock market.,-  Have top stocks like HDFC, Axis Bank, SBI, Infosys, ITC on your watchlist and track them regularly.,-  Get analyses/expert views delivered to you, participate in discussions/conversations through comments.,- Use offline reading facility to sync stories when you are online and access them from anywhere at leisure.,-  Share favourite stock market news and events with your community through SMS, Email, Twitter, Facebook and Whatsapp.,- Get real-time price quotes for your favourite asset class, be it equity, debt, mutual funds, NSC, ETFs, gold, NSE or BSE.,- Have Forex Rates handy, get live rates of US dollar, British pound, euro, yen, Australian dollar, dirham, yuan.,- Get free share market tips and investment ideas and also regular updates on world stock markets and indices, such as Dow Jones., - Stay up-to-date on best stocks to buy top mutual funds, Nifty futures, gold market, BSE India and NSE India."
17 September 2016, 5.9M  , 1.0  ,V-eConnect+,4.8," 500 - 1,000 ",     4.0 and up   ,"read your contacts,approximate location (network-based)
precise location (GPS and network-based),receive text messages (SMS)
send SMS messages,directly call phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,read phone status and identity,view network connections
full network access
read Google service configuration","https://www.google.com/url?q=http://www.vijayabank.com&sa=D&usg=AFQjCNH24H3wuQissOCHik8cWKV6_obI4g,mailto:cbsprog11@vijayabank.co.in",143,Vijaya Bank,
2 August 2016, 9.9M  , P.1.58  ,Bajaj Finserv,4.0," 1,000,000 - 5,000,000 ",     4.0 and up   ,"find accounts on the device,find accounts on the device
read your contacts,approximate location (network-based)
precise location (GPS and network-based),directly call phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,view Wi-Fi connections,read phone status and identity,full licence to interact across users
receive data from Internet
view network connections
full network access
use accounts on the device
control vibration
prevent device from sleeping","https://www.google.com/url?q=https://www.bajajfinserv.in/finance/&sa=D&usg=AFQjCNG0VLTMa5MbMtqCtDmECPkY-jc20A,mailto:mobility@bajajfinserv.in,https://www.google.com/url?q=https://www.bajajfinserv.in/finance/privacy.aspx&sa=D&usg=AFQjCNErUj7FK-RRv0Ns-KZvApttD2Bezg","25,496",Bajaj Finance Limited,"WHAT'S NEW- (Logged in section),02- Aug- 2016,1) Touch ID and M- Pin enabled Login,2) New Insurance products,3) Referral Program,4) Change Login Preference from Securities,5) Minor Bug Fixes, ,Bajaj Finserv is India's One and Only 'Instant EMI Finance Approval' Mobile Application.  ,One App, four steps to buy your favorite products through no cost EMI's ,It’s simple, it’s easy and it saves time., ,With Bajaj Finserv App, you instantly get approval for your loan. It is a quick and easy way to apply for an EMI Finance on your favorite durables, electronics, gadgets, furniture and mobile; and get an approval instantly, anytime anywhere on the widest range of products available., ,A hassle free way to apply for EMI Finance and get Instant Approval on your durable, lifestyle and digital product purchases. This comes with the benefit of Nil foreclosure charges, Nil prepayment charges & Interest Free EMI. ,Key Features:,a. EMI Finance,b. Instant Approval for loan up to Rs. 3 Lacs,c. Minimum documentation,d. Nil Part prepayment charges,e. Nil foreclosure charges,f. No Cost EMI, ,With the Bajaj Finserv  APP you can:,•  Login with Aadhar Card, Facebook, LinkedIn or Google,•  Share only the first 6 digits of your Credit Card to get an extra advantage. This increases your chances of getting an approval, and also makes you eligible for higher loan amounts. No money will be deducted from your card and we do not use your Credit Card details for any banking purpose.,•  Convenience of applying from anywhere, anytime,•  View the range of products, fill out your details & get instant approval,•  Edit your personal details easily,•  Check your loan account details, disbursement details, EMI details and payment schedules ,•  Avail of pre-approved loan offers at a tap ,•  Receive your welcome letter, statements of accounts, repayment schedules and more ,•  Raise a query and check its status easily,•  Know more about the product & services offered by Bajaj Finserv,•  Post approval, shop across any of our 16,000+ partner outlets in, over 150 cities,•  During season, there will be exciting offers and prizes.,•  Track your loan application, ,Products on which you can get Instant Loan Approval - , ,a. Consumer Durable Finance,1.  LED/LCD TV,2.  Washing Machine,3.  Microwave Oven,4.  Refrigerator,5.  Air Conditioner,6.  Inverter,7.  Generator,8.  Air/water purifier,9.  Dryer,10.  Dishwasher,11.  Cooking range, ,b. Digital Finance,1.  Music system,2.  Smart Phones,3.  Tablets,4.  Camera,5.  Camcorder,6.  Laptop,7.  Desktop, ,c. Lifestyle Finance,1.   Furniture – Sofa Sets, Beds, Dining Tables,2.   Modular kitchen,3.   Fitness equipment,4.   Luxury watches, ,Explore the world of instant EMI Finance approval on your mobile - ,•    This is an interactive application which gives you easy access to your transactions, loan history, payment schedules and more.,•    It also allows you to apply for exclusive products & services offered by Bajaj Finserv. ,•    All you need to do is download the app on your mobile and the information is available at your fingertips. ,•    It’s simple, it’s easy and it saves time.,To read more visit https://www.bajajfinserv.in/finance"
30 August 2016, 6.3M  , 4.1.1  ,Walnut Money Manager,4.5," 1,000,000 - 5,000,000 ",     4.0.3 and up   ,"find accounts on the device
read your own contact card,find accounts on the device
read your contacts,precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS),read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,receive data from Internet
view network connections
create accounts and set passwords
full network access
read sync settings
run at startup
use accounts on the device
control vibration
prevent device from sleeping
toggle sync on and off","https://www.google.com/url?q=http://www.getwalnut.com&sa=D&usg=AFQjCNEa4dHYlADiLwQb1-8E6Zmidw6o3w,mailto:help@getwalnut.com,https://www.google.com/url?q=http://getwalnut.com/privacy-policy/&sa=D&usg=AFQjCNGMiQz3kLXb__7Iom0n2wuiRo04JQ","52,809",ThumbWorks Pvt. Ltd.,"Walnut Pay - the best way to transfer money to your friends for free! ,More than a million people like you track, save and build good money habits with Walnut.,✅ Take CONTROL of your MONEY in realtime - 'What', 'How' & 'Where' of your spends,✅ Intuitive visualisations and smart INSIGHTS on your expenses ,✅ SPLIT expenses with friends - The slickest bill split experience! ,✅ TRANSFER MONEY to your friends for FREE - send money direct to bank accounts, no more money stuck in wallets, no need to remember account numbers and IFSC codes.,✅ Bank and credit card dues at a GLANCE,✅ PAY your Credit Card Bills,✅ EXPORT your data and generate expense reports,✅ Check BANK BALANCES,✅ No more LATE fees! Walnut will remind you of pending bills,✅ Send reminders to friends who OWE you,✅ Set a BUDGET and save money,✅ SAVE time and money with this smart app that works like magic for over a million users!,✅ 40+ Banks and cards supported (India only),✅ Walnut keeps track of your monthly ATM withdrawals so you don't pay overuse fees,✅ Keep track of train, taxi, movie bookings and more,✅ Make your own custom categories to track expenses and quickly add cash spent too,✅ Add notes, tags and bill/receipt photos to transactions,✅ Easily search for expenses, tags or notes,✅ Lookup information on places you visit and share with friends and social networks,✅ Walnut does not read your personal SMSs or upload any sensitive data, see http://www.getwalnut.com/faq for more details,✅ Report your bank, card or any interesting messages right from within the app! We will quickly add support for these,Walnut currently supports almost all leading banks/services including:,➢ HDFC Bank,➢ ICICI Bank,➢ Axis Bank,➢ State Bank of India (SBI),➢ American Express,➢ Kotak Mahindra Bank,➢ Citibank,➢ Standard Chartered,HSBC, IDBI Bank, YES Bank, Punjab National Bank (PNB), Bank of Baroda, Vijaya Bank, Oriental Bank of Commerce, Canara Bank, Andhra Bank, IndusInd Bank, Syndicate Bank, Deutsche Bank, Union Bank of India, UCO Bank, Federal Bank, Central Bank of India, Corporation Bank, Allahabad Bank, Bank of India, Bank of Maharashtra, Cosmos Bank, Indian Overseas Bank, Karur Vyasa Bank, Royal Bank of Scotland (RBS), State Bank of Bikaner & Jaipur, State Bank of Hyderabad, State Bank of Mysore, State Bank of Patiala, State Bank of Travancore, Dhanlaxmi Bank, Jammu and Kashmir Bank, RBL Bank, Catholic Syrian Bank, City Union Bank, Dena Bank, Indian Bank, Lakshmi Vilas Bank, Saraswat Bank, South Indian Bank, Tamilnad Mercantile Bank, TATA Credit Card,Walnut automatically tracks and reminds you of bills and upcoming events from these service providers:,Aircel, Airtel, Airtel Money, BookMyShow, BSNL, Cleartrip, Goibibo, Idea, Infosys SmartCard (iMoney), IRCTC, MakeMyTrip, Mobikwik, MoboMoney, Olacabs, Paytm, PayZapp, Pockets, Reliance Mobile, Tata Docomo, Vodafone, Yatra"
